"Department" "Pen" "Group" "Time" "Weight_change" "ID"
"21" "1" "1" 10 187 "1"
"21" "1" "1" 20 655 "1"
"21" "1" "1" 27 1215 "1"
"21" "1" "1" 34 1926 "1"
"21" "1" "1" 3 52 "41"
"21" "1" "1" 10 227 "41"
"21" "1" "1" 20 788 "41"
"21" "1" "1" 27 1420 "41"
"21" "1" "1" 34 2095 "41"
"21" "1" "1" 3 45 "81"
"21" "1" "1" 10 176 "81"
"21" "1" "1" 20 619 "81"
"21" "1" "1" 27 1131 "81"
"21" "1" "1" 34 1834 "81"
"21" "1" "1" 3 46 "121"
"21" "1" "1" 10 189 "121"
"21" "1" "1" 20 630 "121"
"21" "1" "1" 27 1116 "121"
"21" "1" "1" 34 1730 "121"
"21" "2" "1" 3 54 "9"
"21" "2" "1" 10 213 "9"
"21" "2" "1" 20 617 "9"
"21" "2" "1" 27 994 "9"
"21" "2" "1" 34 1039 "9"
"21" "2" "1" 3 47 "49"
"21" "2" "1" 10 158 "49"
"21" "2" "1" 20 574 "49"
"21" "2" "1" 27 1044 "49"
"21" "2" "1" 34 1722 "49"
"21" "2" "1" 3 52 "89"
"21" "2" "1" 10 200 "89"
"21" "2" "1" 20 776 "89"
"21" "2" "1" 27 1407 "89"
"21" "2" "1" 34 2102 "89"
"21" "3" "1" 3 53 "17"
"21" "3" "1" 10 207 "17"
"21" "3" "1" 20 733 "17"
"21" "3" "1" 27 1327 "17"
"21" "3" "1" 34 2025 "17"
"21" "3" "1" 3 50 "57"
"21" "3" "1" 10 194 "57"
"21" "3" "1" 20 712 "57"
"21" "3" "1" 27 1273 "57"
"21" "3" "1" 34 1914 "57"
"21" "3" "1" 3 51 "97"
"21" "3" "1" 10 190 "97"
"21" "3" "1" 20 643 "97"
"21" "3" "1" 27 1157 "97"
"21" "3" "1" 34 1836 "97"
"21" "3" "1" 3 48 "137"
"21" "3" "1" 10 194 "137"
"21" "3" "1" 20 699 "137"
"21" "3" "1" 27 1214 "137"
"21" "3" "1" 34 1777 "137"
"21" "4" "1" 3 52 "25"
"21" "4" "1" 10 245 "25"
"21" "4" "1" 20 755 "25"
"21" "4" "1" 27 1345 "25"
"21" "4" "1" 34 2019 "25"
"21" "5" "1" 3 57 "33"
"21" "5" "1" 10 176 "33"
"21" "5" "1" 20 599 "33"
